Y74C9A.3	CBG03917	1:1	
Y74C9A.2a.2	CBG03916	1:1	313084
Y74C9A.4b	CBG11880	1:1	278646
Y74C9A.5.2	CBG03915	1:1	785596
Y48G1C.12	CBG03913	1:1	671558
Y48G1C.4a	CBG03912	1:1	865617
Y48G1C.5	CBG01136	1:1	319828
Y48G1C.2b.1	CBG03911	1:1	550848
Y48G1C.10a	CBG03910	1:1	496574
Y48G1C.9.2	CBG03909	1:1	259294
Y48G1C.1	CBG04282	1:1	312301
Y48G1C.8b	CBG03903	1:1	322776
F53G12.1.1	CBG03904	1:1	522094
F53G12.10.1	CBG03905	1:1	851036
F53G12.7a	CBG03907	1:1	610696
F53G12.6	CBG05099	1:1	
F53G12.5b	CBG05100	1:1	319230
F53G12.4	CBG05101	1:1	312803
F56C11.1	CBG05103	1:1	548147
F56C11.2a	CBG05104	1:1	802001
F56C11.6b	CBG22005	1:1	780946
F56C11.5a	CBG22009	1:1	319722
F56C11.3	CBG22010	1:1	693329
Y48G1BL.7	CBG22016	1:1	304820
Y48G1BM.1	CBG13174	n:1	307244
Y48G1BR.1	CBG22017	1:1	270277
C53D5.3	CBG22020	1:1	322111
C53D5.2	CBG22019	1:1	733072
C53D5.1a	CBG22074	1:1	813914
C53D5.5a	CBG22061	1:1	839395
C53D5.6	CBG22062	1:1	858801
Y48G1A.5a	CBG22063	1:1	865414
Y48G1A.4	CBG22064	1:1	864996
Y48G1A.2	CBG05095	1:1	
Y48G1A.1	CBG05096	1:1	319095
R119.7a	CBG05098	1:m	
R119.7a	CBG21881	1:m	319313
R119.4	CBG22304	1:1	267390
R119.6	CBG22116	1:1	551221
Y50C1A.1a	CBG22120	1:1	310134
Y50C1A.2	CBG22052	1:1	666314
C07F11.2	CBG22054	1:1	672427
C07F11.1	CBG22058	1:1	567759
W04C9.4	CBG22060	1:1	313153
W04C9.5	CBG22069	1:1	725349
W04C9.3	CBG05090	1:1	270649
W04C9.9	CBG05089	1:1	313202
W04C9.6	CBG22670	1:1	269454
W04C9.2	CBG22669	1:1	689968
W04C9.1a	CBG22668	1:1	546928
Y65B4BL.3a	CBG22667	1:1	319753
Y65B4BL.4	CBG22666	1:1	319728
Y65B4BL.2a	CBG22004	1:m	319323
Y65B4BL.2a	CBG08639	1:m	
Y65B4BL.7a	CBG05108	1:m	320980
Y65B4BL.7a	CBG05107	1:m	
Y65B4BL.5c	CBG05109	1:1	
Y65B4BL.1b	CBG05111	1:1	686406
Y65B4BR.8	CBG05113	1:1	847085
Y65B4BR.5b	CBG05114	1:1	799943
Y65B4BR.4a	CBG05115	1:1	
Y65B4BR.3	CBG05116	1:1	267005
Y65B4BR.2d	CBG05120	1:1	308713
Y65B4BR.1	CBG05119	1:1	743380
Y65B4BR.9	CBG05118	1:1	283676
Y65B4BR.6b	CBG05117	1:1	585500
F56A6.5	CBG25239	1:1	313263
F56A6.2a	CBG03901	1:1	852551
F56A6.4a	CBG05147	1:1	693526
F56A6.1a	CBG12094	n:1	
Y65B4A.6a	CBG05145	n:m	546915
Y65B4A.6a	CBG04018	n:m	
Y65B4A.3	CBG05144	1:1	834317
Y65B4A.2c	CBG05143	1:1	308909
Y65B4A.8.1	CBG18542	1:1	849880
Y18H1A.11a.1	CBG05149	1:1	825497
Y18H1A.1	CBG02314	n:1	
Y18H1A.4.1	CBG05150	1:1	524516
Y18H1A.2	CBG05151	1:1	
Y18H1A.3e	CBG05152	1:1	262964
Y18H1A.6a	CBG05155	1:1	841057
Y18H1A.15	CBG05156	1:1	320058
